english_word,native_translation,definition_vi
said,đã nói; nói,"Quá khứ và phân từ hai của động từ 'say', có nghĩa là phát biểu bằng lời."
an,một,(không có từ tương đương trực tiếp; thường dùng `một`)Từ hạn định không xác định. Dùng trước danh từ số ít, đếm được bắt đầu bằng nguyên âm (a, e, i, o, u).
each,mỗi; mọi,"Dùng để chỉ từng người hoặc từng vật riêng lẻ trong một nhóm gồm hai hoặc nhiều hơn."
she,cô ấy; bà ấy; chị ấy,"Ngôi thứ ba số ít giống cái, dùng để chỉ một người nữ hoặc một vật (trong một số trường hợp) đã nhắc đến trước đó."
which,nào; cái nào; người nào,"Dùng để hỏi về một hoặc nhiều người hoặc vật cụ thể từ một nhóm đã cho."
do,làm; thực hiện; đủ; vừa,"Thực hiện một hành động hoặc nhiệm vụ; cũng có nghĩa là đủ hoặc hợp lệ (thường dùng trong câu hỏi)."
their,của họ,"Thuộc về hoặc liên quan đến họ (những người hoặc vật đã được nói đến)."
time,thời gian; lúc; lần,"Khoảng thời gian; một điểm cụ thể trong quá khứ, hiện tại hoặc tương lai; một dịp hoặc sự kiện."
if,nếu; nếu mà; giả sử,"Liên từ dùng để diễn tả điều kiện, khả năng hoặc sự nghi ngờ."
will,sẽ; ý chí; mong muốn,"Từ trợ động từ dùng để diễn tả hành động sẽ xảy ra trong tương lai; cũng là một danh từ chỉ khả năng đưa ra quyết định hoặc mong muốn."
way,cách; lối; đường,"Cách làm một việc gì đó; con đường để đi từ nơi này đến nơi khác."
about,về; khoảng,"chỉ chủ đề của một cái gì đó; cũng có nghĩa là xấp xỉ, gần đúng."
many,nhiều; lắm,"Chỉ một số lượng lớn, nhiều hơn mức bình thường hoặc dự kiến."
then,sau đó; lúc đó; thế thì,"Chỉ thời gian ngay sau một thời điểm hoặc sự kiện khác; cũng có thể có nghĩa là 'khi ấy' hoặc 'trong trường hợp đó'."
them,chúng nó; họ,"Dạng tân ngữ của 'they', dùng để chỉ một nhóm người hoặc vật."
write,viết; viết ra; viết vào,"Dùng bút hoặc công cụ khác để tạo ra chữ, số hoặc ký hiệu lên bề mặt."
would,sẽ; thì; nếu,"Dạng quá khứ của 'will'; dùng để nói về điều gì đó mà ai đó muốn làm hoặc điều gì đó có thể xảy ra hoặc đã xảy ra trong một tình huống giả định."
like,thích; giống như,"Có cảm giác yêu thích hoặc tận hưởng điều gì đó; hoặc có nghĩa là giống hoặc tương tự với ai đó/cái gì đó."
so,vì vậy; như vậy; rất,"Chỉ kết quả hoặc hậu quả; chỉ cách thức hoặc mức độ; hoặc để nhấn mạnh."
these,những cái này; những người này; những thứ này,"Từ chỉ định số nhiều. Dùng để chỉ người, vật hoặc ý tưởng ở gần người nói, đã được nhắc đến hoặc được biết đến."
her,cô ấy; của cô ấy,"(Đại từ) Ngôi thứ ba số ít, giống cái; dùng làm tân ngữ hoặc sau giới từ. (Tính từ sở hữu) Thuộc về hoặc liên quan đến một người nữ."
long,dài; lâu,"Có chiều dài lớn; hoặc kéo dài trong một khoảng thời gian lớn."
make,làm; tạo ra; khiến cho,"Hoạt động tạo ra hoặc xây dựng một cái gì đó; cũng có nghĩa là khiến cho ai đó hoặc cái gì đó trở nên như thế nào."
thing,cái; điều; vật,"Một vật thể, ý tưởng hoặc sự việc không xác định rõ tên gọi cụ thể."
see,thấy; nhìn; gặp; hiểu,"Dùng mắt để nhận biết cái gì đó; gặp gỡ ai đó; hoặc hiểu một điều gì đó."
him,anh ấy; ông ấy; nó,"Dạng tân ngữ của 'he'; dùng để chỉ người đàn ông hoặc con trai, hoặc đôi khi là động vật đực, khi chúng là đối tượng của động từ hoặc giới từ."
two,hai,"Số tương đương với 2; một cặp hoặc một đôi."
has,có,Một dạng của động từ 'have', dùng với chủ ngữ số ít (he, she, it) ở thì hiện tại đơn, chỉ sự sở hữu hoặc có.
look,nhìn; trông; trông có vẻ,"Dùng mắt để thấy; có vẻ như hoặc trông giống như."
more,nhiều hơn; thêm; nữa,"Chỉ số lượng lớn hơn, mức độ cao hơn hoặc bổ sung thêm."
day,ngày; ban ngày,"Khoảng thời gian 24 giờ, bắt đầu từ nửa đêm hoặc rạng sáng, hoặc khoảng thời gian có ánh sáng mặt trời giữa buổi sáng và buổi tối."
could,có thể; đã có thể,"dạng quá khứ và dạng điều kiện của 'can'; dùng để nói về khả năng, sự cho phép, lời đề nghị hoặc yêu cầu một cách lịch sự."
go,đi; đi đến,"Di chuyển từ nơi này sang nơi khác; rời khỏi một nơi hoặc hướng tới một nơi."
come,đến; lại,"Di chuyển về phía người nói hoặc một địa điểm cụ thể."
did,đã,Thể quá khứ đơn của động từ "do". Dùng để hỏi hoặc nói về một hành động xảy ra và hoàn thành trong quá khứ.
number,số,"Một ký hiệu hoặc từ dùng để biểu thị một lượng."
sound,âm thanh; nghe,"Điều có thể nghe thấy; cảm giác nghe khi tai nhận được sóng âm thanh; cũng là cách mô tả điều gì đó nghe như thế nào."
no,không; không có; không,''Từ dùng để từ chối, phủ nhận hoặc trả lời phủ định; cũng chỉ sự thiếu vắng một cái gì đó.''
most,hầu hết; nhất; nhất là,"Chỉ số lượng lớn nhất hoặc mức độ cao nhất của một cái gì đó."
people,người; người ta,"Số nhiều của 'person'; dùng để chỉ nhiều người chung chung hoặc một nhóm người."
my,của tôi,"Biểu thị sự sở hữu; thuộc về người nói."
over,trên; qua; hết,"Chỉ vị trí cao hơn hoặc vượt qua vật khác; kết thúc hoặc hoàn thành; bên kia hoặc phía bên kia."
know,biết,"Có thông tin, sự thật, hoặc hiểu biết về một cái gì đó hoặc ai đó."
water,nước; nước uống; tưới nước,"Một chất lỏng không màu, không mùi, không vị, cần thiết cho sự sống; cũng là hành động làm cho cây cối hoặc đất đai ẩm ướt bằng nước."
than,hơn; so với,"Dùng sau tính từ hoặc trạng từ để so sánh hai người hoặc vật hoặc hành động."
call,gọi; cuộc gọi; kêu gọi,"Đưa ra âm thanh (bằng giọng nói hoặc tiếng động vật) để thu hút sự chú ý hoặc yêu cầu điều gì đó; cũng là hành động sử dụng điện thoại; yêu cầu công khai hành động."
first,đầu tiên; thứ nhất,"Chỉ cái gì đó đứng ở vị trí bắt đầu, trước tất cả những cái khác."
who,ai,"Từ nghi vấn dùng để hỏi về người."
may,có thể,"Được phép làm gì đó; hoặc chỉ khả năng điều gì đó có thể xảy ra."
down,xuống; dưới,"Chỉ sự di chuyển từ vị trí cao hơn đến vị trí thấp hơn; cũng có nghĩa là ở vị trí thấp hơn."
side,bên; phía,"Một trong các bề mặt hoặc giới hạn của vật thể; hoặc một vị trí hoặc khu vực liên quan đến đường trung tâm hoặc một điểm tham chiếu."
been,đã; rồi; từng,Dạng phân từ hai (past participle) của động từ "to be". Thường dùng trong các thì hoàn thành để chỉ việc gì đó đã xảy ra hoặc trạng thái đã tồn tại.
now,bây giờ; lúc này,"Vào thời điểm hiện tại; ngay lập tức."
find,tìm; tìm thấy; thấy,"Phát hiện ra cái gì đó hoặc ai đó, thường sau khi tìm kiếm; nhận ra."
any,bất kỳ; bất cứ,"Chỉ loại người hoặc vật nào đó trong một nhóm, không quan trọng là cái nào; cũng dùng trong câu phủ định hoặc câu hỏi để chỉ một lượng không xác định."
new,mới; mới mẻ; tin tức,"Chưa tồn tại trước đây; khác với cái đã có; thông tin mới."
work,làm việc; công việc; hoạt động,"Một hoạt động mà người ta làm để kiếm sống hoặc hoàn thành một nhiệm vụ; nỗ lực về thể chất hoặc tinh thần để hoàn thành một việc gì đó."
part,phần; bộ phận; một phần,"Một trong những đơn vị hoặc yếu tố tạo nên một tổng thể; một mảnh hoặc một phần trăm của cái gì đó."
take,lấy; cầm; mang; đưa; nhận,"Dùng tay để cầm, nắm cái gì đó; hoặc đưa cái gì đi nơi khác; hoặc chấp nhận, nhận cái gì."
get,lấy; nhận; đạt được; trở nên,"Có được vật gì đó; nhận được thứ gì đó; đạt đến một trạng thái hoặc bị cái gì đó tác động."
place,nơi; chỗ; địa điểm; đặt để,"Một vị trí, một khu vực cụ thể; cũng có nghĩa là đặt cái gì đó vào một vị trí nhất định."
made,đã làm; được làm,"Quá khứ đơn và quá khứ phân từ của động từ 'make'. Nghĩa là tạo ra, chế tạo, hoặc sản xuất một cái gì đó trong quá khứ."
live,sống; trực tiếp,"Tồn tại, sinh hoạt bằng cách sử dụng năng lượng; cũng có nghĩa là được truyền hình hoặc phát sóng ngay tại thời điểm đang diễn ra."
where,ở đâu; nơi mà; đâu,"Chỉ địa điểm, vị trí hoặc nơi chốn; dùng làm từ hỏi hoặc liên từ."
after,sau; sau khi,"Chỉ thời gian hoặc địa điểm muộn hơn, kế tiếp một sự kiện hoặc vị trí khác."
back,lưng; trở lại; phía sau,Phần thân sau của con người hoặc động vật; quay trở về nơi hoặc trạng thái cũ; ở phía sau của một cái gì đó.
little,ít; nhỏ bé; một chút,"Có số lượng hoặc kích thước không đáng kể; bé hoặc nhỏ."
only,chỉ; duy nhất,"Chỉ ra hoặc giới hạn một cái gì đó hoặc ai đó là cái duy nhất, không có cái nào khác; hoặc chỉ số lượng ít ỏi."
round,tròn; quanh; lượt,"Có hình dạng đường cong liên tục, không góc cạnh; chỉ sự chuyển động xung quanh một điểm hoặc đường; một giai đoạn trong một cuộc thi hoặc sự kiện."
man,người đàn ông; đàn ông; con người,"Một người trưởng thành thuộc giới tính nam; cũng có thể chỉ con người nói chung."
year,năm,Khoảng thời gian 365 hoặc 366 ngày, là thời gian để Trái Đất quay hết một vòng quanh Mặt Trời.
came,đã đến; đã tới,"Quá khứ của 'come', có nghĩa là di chuyển từ xa đến gần người nói hoặc nơi được đề cập."
show,hiển thị; cho xem; buổi biểu diễn; chương trình,"Để cho ai đó thấy một cái gì đó; trưng bày; một sự kiện công khai để trình bày hoặc giải trí."
every,mọi; mỗi,"Chỉ tất cả các thành viên trong một nhóm hoặc một tập hợp, được xem xét riêng lẻ."
good,tốt; hay; giỏi; ngon,"Có chất lượng cao hoặc đáng mong muốn; có đạo đức hoặc đúng đắn; thành thạo hoặc có kỹ năng; có hương vị dễ chịu."
me,tôi; mình; tớ,"Đại từ nhân xưng ngôi thứ nhất số ít, dùng làm tân ngữ (chỉ người được nói đến hoặc người nhận hành động)."
give,cho; biếu; tặng; đưa,"Trao hoặc chuyển một thứ gì đó cho ai đó; đưa một thứ gì đó cho người khác sở hữu hoặc sử dụng."
our,của chúng ta; của chúng tôi,"Thuộc về hoặc liên quan đến chúng tôi hoặc chúng ta."
under,dưới; bên dưới,"Chỉ vị trí thấp hơn một cái gì đó khác, thường ở ngay phía dưới hoặc được che phủ bởi vật đó."
name,tên,Từ dùng để gọi một người, một vật, một nơi hoặc một ý niệm.
very,rất,Dùng để nhấn mạnh hoặc tăng cường ý nghĩa của một tính từ hoặc trạng từ.
through,qua; xuyên qua; suốt,"Đi từ đầu này sang đầu kia của cái gì đó; hoặc trong suốt một khoảng thời gian."
just,chỉ; vừa mới; công bằng; đúng là,"Chỉ một lượng nhỏ, hoặc chỉ điều gì đó vừa xảy ra. Cũng có nghĩa là đúng đắn, hợp lý hoặc chính xác như mong đợi."
form,hình thức; dạng; mẫu; biểu mẫu; điền mẫu,"Hình thái hoặc cấu trúc của một thứ gì đó; một loại hoặc dạng cụ thể của một thứ gì đó; một tài liệu với các khoảng trống để điền thông tin; hành động điền thông tin vào một tài liệu như vậy."
sentence,câu; câu nói,"Một nhóm từ đầy đủ ý nghĩa, thường chứa chủ ngữ và vị ngữ, biểu thị một ý tưởng hoặc câu hỏi hoàn chỉnh."
great,tuyệt vời; vĩ đại; to lớn; rất tốt,"Rất tốt, đáng chú ý, hoặc quan trọng; cũng có nghĩa là kích thước lớn hoặc số lượng lớn."
think,nghĩ; suy nghĩ; cho rằng,"Dùng đầu óc để hình thành ý kiến, ý tưởng hoặc đi đến kết luận."
say,nói; rằng; bảo,"Phát ra lời nói bằng giọng nói; nói điều gì đó bằng lời hoặc chữ viết; dùng trước một câu trích dẫn hoặc thuật lại lời nói."
help,giúp; sự giúp đỡ,"Làm cho ai đó dễ dàng làm gì đó hơn; hỗ trợ hoặc cung cấp sự giúp đỡ."
low,thấp; ít,"Ở độ cao không lớn; không nhiều về số lượng, cường độ hoặc chất lượng."
line,đường; dòng; hàng,"Một đường kéo dài hoặc một chuỗi các điểm; cũng có thể là một hàng người hoặc vật, hoặc một câu trong đoạn văn hay bài thơ."
differ,khác nhau; khác biệt,"Không giống hoặc không bằng nhau; có sự khác biệt giữa hai hay nhiều vật, người, hoặc điều."
turn,quay; xoay; lượt,"Hành động di chuyển theo một đường cong quanh một điểm trung tâm, hoặc thay đổi hướng; cũng là quyền hoặc cơ hội làm điều gì đó theo thứ tự."
cause,gây ra; nguyên nhân; lý do,"Điều gì đó làm cho một cái gì đó khác xảy ra (động từ); điều tạo ra một kết quả hoặc hành động nào đó (danh từ)."
much,nhiều; rất,"Một lượng lớn; ở mức độ lớn."
mean,có ý nghĩa; có nghĩa là; trung bình,"Có nghĩa là (chỉ ý nghĩa của từ hoặc điều gì đó); cũng dùng để chỉ giá trị trung bình của một tập hợp số; hoặc chỉ tính cách xấu, keo kiệt."
before,trước; trước khi,"Chỉ thời điểm hoặc vị trí phía trước một người, vật, hoặc sự kiện khác."
move,di chuyển; chuyển động; chuyển; động tác,"Thay đổi vị trí từ nơi này sang nơi khác; làm cho cái gì đó thay đổi vị trí; một hành động hoặc bước đi."
right,đúng; phải; quyền,"Có nghĩa là chính xác, không sai; cũng chỉ phía bên đối diện với bên trái; hoặc chỉ một quyền lợi hợp pháp."
boy,bé trai; cậu bé; con trai,"Một người trẻ tuổi giống đực; chưa trưởng thành."
old,cũ; già; cổ,"Có tuổi đời lớn, đã tồn tại lâu hoặc không còn mới."
too,quá; cũng,"Chỉ một lượng hoặc mức độ lớn hơn mức cần thiết hoặc mong muốn; hoặc có nghĩa là 'cũng vậy'."
same,giống; như nhau,"Có đặc điểm, tính chất hoặc ngoại hình tương tự hoặc giống hệt một người hoặc vật khác."
tell,nói; kể; bảo,"Truyền đạt thông tin, một câu chuyện hoặc một sự thật cho ai đó; hướng dẫn hoặc ra lệnh cho ai đó làm gì."
does,làm; thực hiện,"Là dạng động từ 'do' chia ở ngôi thứ ba số ít, thì hiện tại đơn. Được dùng làm trợ động từ hoặc động từ chính để chỉ hành động hoặc nhiệm vụ."
set,bộ; đặt; thiết lập; cài đặt,"Một nhóm các thứ cùng loại; hành động đặt cái gì đó ở một vị trí cụ thể; quá trình thiết lập hoặc cấu hình thứ gì đó để sẵn sàng sử dụng."
three,ba,"Số tự nhiên sau số hai và trước số bốn, được biểu thị bằng chữ số 3."
want,muốn; cần,"Có mong muốn sở hữu hoặc làm điều gì đó; có nhu cầu về một thứ gì đó."
air,không khí; không gian; máy điều hoà,"Chất khí bao quanh Trái Đất mà chúng ta hít thở; cũng có thể chỉ không gian trống hoặc một thiết bị làm mát không khí."
well,tốt; khỏe; (tương tự từ *cũng* trong tiếng Việt); giếng,(Trạng từ) ở mức độ tốt hoặc theo cách tốt; (Tính từ) khỏe mạnh; (Thán từ) Dùng để thể hiện sự ngạc nhiên, do dự hoặc làm cầu nối trong cuộc hội thoại; (Danh từ) Lỗ đào sâu dưới lòng đất để lấy nước hoặc dầu.)
also,cũng,"Thêm vào; ngoài ra; tương tự hoặc giống nhau."
play,chơi; vở kịch,"Tham gia vào hoạt động để giải trí và vui vẻ; hoặc là một màn trình diễn trên sân khấu."
small,nhỏ; bé,"Có kích thước, số lượng hoặc mức độ khiêm tốn hoặc dưới mức trung bình; ngược lại với lớn."
end,cuối cùng; kết thúc; chấm dứt,"Điểm cuối cùng của một thứ gì đó; sự ngừng lại của một hoạt động hoặc trạng thái."
put,đặt; để; đặt vào,"Di chuyển ai đó hoặc cái gì đó đến một vị trí hoặc trạng thái cụ thể."
home,nhà; quê hương,"Nơi một người sống vĩnh viễn hoặc quen thuộc; cũng có thể là quê nhà."
read,đọc,"Nhìn các chữ cái hoặc ký hiệu và hiểu ý nghĩa của chúng."
hand,tay,Bộ phận cơ thể người hoặc động vật gắn với cánh tay, dùng để cầm nắm hoặc làm việc.
port,cảng; bến cảng,"Nơi tàu thuyền có thể neo đậu để bốc dỡ hàng hóa hoặc đón trả khách; một bến đỗ ở bờ biển hoặc sông."
large,lớn; rộng; to,"Có kích thước lớn, không nhỏ."
spell,đánh vần; phép thuật,"Đọc hoặc viết các chữ cái của một từ theo đúng thứ tự; hoặc một từ hoặc hành động được cho là có sức mạnh ma thuật."
add,thêm; cộng; bổ sung,"Đặt một cái gì đó vào một cái khác; tính tổng của các số."
even,ngay cả; thậm chí; bằng phẳng; đều,"Sử dụng để nhấn mạnh một điều gì đó ngạc nhiên hoặc cực đoan; cũng có nghĩa là không gồ ghề, không có chỗ lồi chỗ lõm; hoặc có số chia hết cho 2."
land,đất đai; đất nước; hạ cánh,"Một phần bề mặt rắn của Trái Đất, khác với biển; cũng có thể chỉ một quốc gia hoặc khu vực; hoặc hành động hạ cánh xuống mặt đất."
here,ở đây; tại đây; đến đây,"Chỉ một vị trí hoặc địa điểm cụ thể gần với người nói hoặc người nghe."
must,phải; cần phải; cần thiết,"Dùng để diễn tả sự bắt buộc, nghĩa vụ hoặc sự cần thiết rất mạnh; cũng dùng để suy luận chắc chắn về điều gì đó."
big,lớn; to; rộng,"Có kích thước lớn, vượt quá kích thước trung bình hoặc bình thường."
high,cao,"Có chiều cao lớn; ở trên một mức độ, cấp bậc hoặc số lượng đáng kể."
such,như vậy; như thế; đến mức","Ở một mức độ nhất định, thường lớn hoặc đáng kể; hoặc có tính chất được nhắc đến/mô tả."
follow,theo; tuân theo; noi theo,"Đi theo sau ai đó hoặc cái gì đó; làm theo chỉ dẫn, lời khuyên hoặc quy tắc; làm giống như ai đó đã làm."
act,hành động; đóng vai,"Một việc đã làm; cũng là việc thực hiện một vai diễn trong kịch hoặc phim."
why,tại sao; vì sao,"Từ hỏi dùng để hỏi lý do, nguyên nhân của một sự việc."
ask,hỏi; yêu cầu,"Dùng lời nói để tìm kiếm thông tin hoặc yêu cầu ai đó làm gì đó."
men,đàn ông (số nhiều của man); những người đàn ông,"Dạng số nhiều của 'man', dùng để chỉ nhiều người là nam giới trưởng thành."
change,thay đổi; sự thay đổi,"Làm cho cái gì đó khác đi; hoặc sự chuyển đổi từ trạng thái này sang trạng thái khác."
went,đã đi; đi đến,"Dạng động từ ở thì quá khứ đơn của 'go', mang nghĩa là đã di chuyển từ nơi này đến nơi khác."
light,ánh sáng; đèn; nhẹ,"Nguồn ánh sáng tự nhiên (từ mặt trời) hoặc nhân tạo (từ đèn); vật dùng để chiếu sáng; không nặng."
kind,loại; tử tế; tốt bụng,"Chiều loại: một nhóm người hoặc vật có đặc điểm chung. Chiều tính cách: có lòng tốt, sẵn sàng giúp đỡ người khác."
off,tắt; rời xa; ngoài,"Chỉ sự ngắt kết nối, dừng hoạt động (thiết bị); chỉ sự di chuyển hoặc ở vị trí cách xa điều gì đó."
need,cần; nhu cầu; cần thiết,"Cần một cái gì đó vì nó quan trọng hoặc thiết yếu, hoặc cảm giác cần một cái gì đó."
house,nhà; ngôi nhà; gia đình,"Một tòa nhà dùng để ở, thường là của một gia đình hoặc một nhóm người; cũng có thể ám chỉ những người sống trong tòa nhà đó (gia đình)."
picture,bức tranh; bức ảnh,"Một hình ảnh, bức vẽ hoặc bức ảnh được tạo ra trên một bề mặt phẳng, thường để nhìn ngắm hoặc trưng bày."
try,thử; cố gắng,"Cố gắng làm một việc gì đó, thường là lần đầu tiên hoặc để xem liệu nó có thể thực hiện được không."
us,chúng tôi; chúng ta,"Đại từ nhân xưng ngôi thứ nhất số nhiều (chúng tôi, chúng ta, tụi mình) ở vị trí tân ngữ hoặc sau giới từ."
again,lại; nữa; lặp lại,"Chỉ sự việc xảy ra hoặc được làm thêm một lần nữa; trở lại trạng thái trước đó."
animal,động vật; con vật,"Sinh vật sống có khả năng di chuyển, thường ăn sinh vật khác để sống, không phải thực vật hoặc nấm."
point,điểm; chỉ tay; hướng,"Một vị trí cụ thể; một ý chính trong một cuộc thảo luận hoặc bài viết; hành động dùng ngón tay chỉ vào thứ gì đó."
mother,mẹ; má,"Người phụ nữ đã sinh ra hoặc nuôi dưỡng một người, thường là người mẹ ruột."
world,thế giới; thế gian; địa cầu,"Toàn bộ trái đất, bao gồm tất cả các quốc gia, con người và mọi thứ tồn tại trên đó."
near,gần; gần tới; ở gần,"Ở một khoảng cách ngắn; không xa lắm."
build,xây dựng; chế tạo,"Lắp ráp các bộ phận để tạo thành một cấu trúc (như nhà cửa, cầu đường) hoặc một vật gì đó; chế tạo."
self,bản thân; cái tôi,"Chính con người của một người; tính cách hay nhân dạng riêng của một người."
earth,trái đất; đất; thế giới,"Hành tinh chúng ta đang sống; bề mặt cứng của hành tinh, khác với trời và nước; toàn bộ thế giới."
father,cha; bố; ba; thầy tu (trong đạo Thiên chúa),"Người đàn ông là phụ huynh của một đứa trẻ; cũng được dùng để gọi một thầy tu trong đạo Thiên Chúa."
head,đầu; thủ lĩnh; người đứng đầu,"Phần trên cùng của cơ thể con người hoặc động vật; cũng là người đứng đầu, chỉ huy một nhóm hoặc tổ chức."
stand,đứng; sự đứng; gian hàng,"Ở tư thế thẳng trên chân; cũng chỉ một nơi bày bán hàng hóa (ví dụ: gian hàng chợ, quầy hàng)."
own,của riêng; sở hữu; tự mình,"Có cái gì đó thuộc về mình; hoặc làm điều gì đó một mình mà không có ai giúp."
