english_word,native_translation,definition_ja
great,素晴らしい; 偉大な,"非常に良い、または優れた。大きさ、重要性、質などが平均を大きく上回る様子。"
think,考える; 思う,"何かが真実であると信じること、または頭の中でアイデアや意見を形成すること。"
say,言う; 発言する,"言葉を発して考えや意見を伝えること。"
help,助ける; 助け,"誰かが何かをするのを容易にしたり、困難を克服するのを支援したりする行動。またはその支援自体。"
low,低い,"高さや程度が普通のレベルを下回る。値段が安いことも指す。"
line,線; 列; 電話回線,"細長い印や帯。人や物の並び。電話の接続。"
differ,違う; 異なる,"比較して似ていない、または同じでないこと。"
turn,回る; 回す; 番,"回転する、または何かを回転させること。順番や機会を指すことも。"
cause,原因; 引き起こす,"物事が起こる理由や根拠。また、物事が起こる原因となる行動や出来事。"
much,たくさんの; 大いに,"量や程度が大きいことを示す。数えられない名詞や動詞をしばしば修飾する。"
mean,意味する; つもりである; 意地悪な,"言葉や行動が表すこと。何かをする意図があること。人が優しくないこと。"
before,〜の前に; 以前に,"時間や空間において、あるものより先にあること。過去のある時点を示す。"
move,動く; 移る,"ある場所から別の場所に移動すること。位置を変えること。"
right,正しい; 右,"倫理的または事実として合っていること。方向では、左の逆。"
boy,少年; 男の子,"若い男性の子供。"
old,古い; 年老いた,"年齢が高いこと、あるいは長い間存在していること。"
too,あまりに; 〜すぎる,"度を超して非常に、または予想以上に多く、または〜と一緒に、という意味で使われる。"
same,同じ,類似している、または区別がつかないさま。
tell,話す; 伝える; 教える,"誰かに情報や物語を言葉で伝えること。"
does,する; あります,"doの三人称単数現在形。何かを行う、活動する、または存在する状態。"
set,セット; 置く; 設定する,"同じ種類のものの集まり。何かを特定の場所や位置に置くこと。物事を決めたり調整したりすること。"
three,三,"数字の3。2の次で4の前の数。"
want,欲しい; 〜したい,"何かを持ちたい、所有したい、または何かを成し遂げたいと強く思う気持ち。"
air,空気; 空中,"地球を覆っているガス状の物質。特に呼吸に必要な大気。"
well,よく; うまく; 井戸; 健康な,"良い状態や方法で。または、深い穴のこと。健康であることを指す場合もある。"
also,〜もまた; さらに; その上,"既に述べたことや存在するものに加えて、別のものも同様であることを示す際に用いる。"
play,遊ぶ; 演奏する; 劇,"子供や楽しみのために活動する。楽器を鳴らしたり、スポーツをしたりする。劇に出演する。"
small,小さい; 少ない,"サイズ、量、程度が標準や他と比べて小さいこと。"
end,終わり; 終了; 末尾,"何かが終わること、最終的な点や段階のこと。"
put,置く; 入れる,"何かを特定の場所や位置に移動させること。特定の状態や状況にすること。"
home,家; 自宅; 家庭,"人が住んでいる場所。特に自分の家族と一緒に住んでいる場所や生まれ育った場所。"
read,読む,書かれた文字や文章を目で追って理解すること。
hand,手,"腕の先にある、物をつかんだり持ったりするための体の部分。"
port,港; ポート,"船が接岸して荷物の積み降ろしや人の乗降を行う場所。コンピューターなどの接続口を指すこともあります。"
large,大きい; 広い; 大規模な,"サイズや量が平均よりも相当大きいこと。広さや規模が大きい様。"
spell,つづる; 呪文,"文字を順番に並べて単語を作る。また、魔法の力を持つ言葉や行為。"
add,加える; 足す,"合計に加える、あるいは物事を増やすこと。"
even,〜でさえ; 平らな,"予期せぬ事柄や極端な例を含むことを示す副詞または形容詞で、驚きや強調を表す。また、表面が滑らかで段差がない様子を指す。"
land,陸; 土地,"地球の表面で、海ではない部分。所有したり利用できる地面のこと。"
here,ここ; こちら,"今いる場所、または話題の中心となっている場所を指す。"
must,〜しなければならない; 〜に違いない,"義務や必要性（〜しなければならない）または強い確信（〜に違いない）を表す助動詞。"
big,大きい; 大きな,"物理的にサイズが大きい、または重要性や範囲が大きいことを示す。"
high,高い,"高さや強さが大きいこと。基準や平均より上であること。"
such,そのような; このような,"前に言及されたものと同様の、または非常にその度合いが強いものを指すのに使われる。"
follow,追いかける; 続く; 従う,"人や物の後をついていく。指示やルールに従う。時間的に後に続く。"
act,行う; 行動する; 演技,"何かをする、行動を起こすこと。また、劇や映画などで役柄を演じること。"
why,なぜ; どうして,"原因や理由を尋ねる時に使う疑問副詞。"
ask,尋ねる; 頼む,"質問をする、または誰かに何かをするように言う。"
men,男性; 男たち,"複数の成人男性。"
change,変える; 変化する,"ある状態から別の状態へ移行すること。物事を変えたり、変わったりすること。"
went,行った,"goの過去形。過去の時点で移動した状態を示す。"
light,光; 明かり; 軽い,"目に見えるエネルギーの一種。暗闇を明るくするもの。また、重さが小さいこと。"
kind,種類; 親切な,「グループやカテゴリーを示す。」または「人や物事を思いやる優しさや善意を示す。」
off,離れて; 休んで,"何かが表面から離れている状態、動いている状態、または活動が停止している状態を示す。"
need,必要とする; 必要,"何かが必要である、あるいは求めること。不可欠なもの。"
house,家,"人々が住むために建てられた建物。"
picture,絵; 写真,"物や場面などを写し取ったもの。描かれたもの（絵）も、撮影されたもの（写真）も指す。"
try,試す; 努力する,"何かをしようと努力すること。または、味などを確かめるために少しだけ口にすること。"
us,私たち,話し手と他の複数を指す代名詞。
again,再び; もう一度,"以前に起こった状態や行為が繰り返されることを示す。"
animal,動物,"人間以外の生き物で、たいてい自分で動くことができるもの。"
point,点; 指す,"物事の場所や位置を示す印。概念的な要点や意見を指すこともある。また、指などで特定のものを示す動作。"
mother,母; 母親,"女性の親。特に、子供を産んだ女性を指す。"
world,世界,"地球上のすべての場所、国、人々。特定の活動や興味の分野全体を指すこともある。"
near,近い; 近くに,"距離的または時間的に、場所や時点がわずかに離れている状態。すぐそばであること。"
build,建てる; 建築する; 建設する,"家、建物、橋などを構造的に作り上げること。計画して構築することも指す。"
self,自分; 自己,"自分自身のこと。"
earth,地球; 大地,"太陽系第三惑星。また、植物が生える表面の土や陸地のこと。"
father,父; 父親,"男性の親。自分の夫やパートナーの子に対する男性の親。"
head,頭; かしら,"人間の体や物体の最上部。組織やグループのリーダーを指すこともある。"
stand,立つ; 我慢する,"足で垂直に体を支えること。また、困難な状況に耐えることも意味する。"
own,自分の; 所有する,"自分自身のものであること、または何かを所有していることを示す形容詞または動詞。"
page,ページ,本の紙の一枚や、ウェブサイトの一画面のこと。
should,〜すべきである; 〜のはずである,"推奨や義務、または可能性や予想を示す助動詞。"
country,国; 田舎,"地理的な領域、特に政治的に区別された領域。都市部ではない自然豊かな地域も指す。"
found,見つけた; 設立した,"見つけること、または始めること。過去形。"
answer,答える; 答え,質問や問題に対する返答や解決策。
school,学校,"学びや教育が行われる場所。生徒が集まり、先生が教える施設。"
grow,成長する; 育つ; 増える,"生命力が大きくなる、または量や大きさが徐々に増すこと。"
study,勉強; 研究,"知識を得るために本を読んだり、授業に出たりする行為。または、特定の主題について深く調べること。"
still,まだ; 静止した,"ある状態や動きが継続していること。または動きがなく静かなこと、静止した状態。"
learn,学ぶ,"知識や技術を習得すること。経験を通して知るようになること。"
plant,植物; 工場,"土に根を張り、葉や茎を持つ生き物。または、製品を製造するための建物や施設。"
cover,覆う; 含む; 表紙,"何かを覆うこと。あるいは、話題や範囲に何かを含むこと。本の外側の紙や布。"
food,食べ物; 食品,"食べたり飲んだりして生命を維持するためのもの。"
sun,太陽,"昼間に空に見える、熱と光を発する巨大な星。"
four,四; 4,"数字の3の次に来る数。また、その数に対応する量。"
between,〜の間に,"二つ以上の場所、人、物事、または時間の間にある位置。"
state,州; 国家; 状態,"特定の領土と政府を持つ政治組織。または、人や物の現在のありさまや状況。"
keep,保つ; 維持する; 続けている,"何かを特定の状態や場所に置いておく。行動や状態を続けること。"
eye,目; 視力,"見るための器官。または、目が見る能力。"
never,決して〜ない; 一度も〜ない,"全く、または決して起こらない、またはあり得ないことを示す時に使う単語。"
last,最後の; 続く,"順序で一番後ろに来ること。また、時間的にある期間存続すること。"
let,〜させてください; 〜しよう,"許可したり、物事が起こるのを許したりする際に使う言葉。提案にも使われる。"
thought,考え; 思考,"考えること。頭の中で何かを生み出したり、判断したりする精神的な活動。"
city,都市,"大きな人口と多くの建物がある場所。"
tree,木,"幹と枝を持つ大きな植物。果物や木材として利用されることが多い。"
cross,渡る; 交差する; 十字架,"ある場所から別の場所に移動する。二つの線や道が交わること。また、キリスト教のシンボル。"
farm,農場; 畑,"農業が行われる土地。作物や家畜の生産を目的とする。"
hard,硬い; 難しい; 熱心に,"触るとしっかりしている、簡単ではない、または懸命に行う様子。"
start,始める;始まる,"何かが起こり始める、または活動を開始すること。"
might,〜かもしれない; 力; 権力,"可能性や推測を表す助動詞。また、力や権限を意味する。"
story,物語; 話,"出来事や想像上のことを語ったり書いたりしたもの。特に、始まり、中間、終わりがある一連の出来事。"
saw,見た; のこぎり,"見るの過去形。物体を切断するための道具。"
far,遠い; 遠く,"距離がかなり離れていることや、離れた場所にいることを示す。"
sea,海,"広大で塩水の水域で、大陸を囲んでいるもの。"
draw,描く; 引く,"ペンや鉛筆などで絵や線を紙に描くこと。また、人や物を引き寄せること。"
left,左,"方向や側面のひとつで、体の中心から見て心臓側にある方。"
late,遅い; 期限を過ぎた,"通常の時間や期待される時間、または期日を過ぎている状態。"
run,走る; 経営する; 流れる,"足を使って速く移動すること。また、事業などを運営したり、液体などが滞りなく動くことを指す。"
don't,〜しない; することなかれ,"do not の短縮形。命令形では「〜するな」という意味になる。"
while,〜の間; 〜する間に,"時間的に何かをしている最中であることを示す接続詞。"
press,押す; 報道機関; 印刷する,"物理的に何かを押し付けること。また、新聞や雑誌などの報道機関、または機械を使って情報を印刷すること。"
close,閉じる; 近い; 親しい,"開いているものを元に戻して塞ぐこと。距離が短いこと。人との関係が非常に親密なこと。"
night,夜,"一日の中で太陽が沈んで暗くなっている時間帯。"
real,本物の; 本当の,"偽りがない、事実である、または想像や作り話ではないことを示す。"
life,人生; 生命,"生まれてから死ぬまでの、存在する状態や期間。生物が生きていること。"
few,少ない; 少しの,"数が少ないこと、またはそのような少量を示す。"
north,北,"四つの方角のうち、太陽が沈む方角の反対側。"
open,開ける; 開く,"閉じていない状態にする、またはアクセス可能にする。店などが営業している状態。"
seem,〜のように見える; 思われる,"外見や状況から、ある状態や印象であると判断されること。"
together,一緒に; 協力して,"複数の人や物が一つにまとまって存在するさま。または、協力して何かを行うさま。"
next,次の,"順番で来る人や物。時間的にすぐ後を指す。"
white,白,"雪や牛乳のような色。人種を表す場合もある。"
children,子供たち,"childの複数形。まだ大人になっていない人々を指す。"
begin,始まる; 開始する,"物事が最初からスタートすること。行動やイベントなどが始まること。"
got,得た,getの過去形・過去分詞形。何かを取得したり、受け取ったりしたことを示す。
walk,歩く; 散歩,"足を使って移動すること。特にのんびり歩くことを指す場合もある。"
example,例; 手本,"何かを説明したり説明したりするために使用される、典型的なものまたは表現。"
ease,容易; 楽さ,"苦痛や困難がなく、心地よく穏やかな状態。また、物事を簡単にする。"
paper,紙,"書いたり印刷したりするための薄い素材。"
group,グループ; 集団,"共通の特性、興味、または目的を持つ人や物の集まり。"
always,いつも; 常に,"決して変わらず、どのような時でも続くこと。"
music,音楽,"歌や楽器などによって生み出される、リズム、メロディー、ハーモニーを持つ音の芸術。"
those,あれらの; その; これほどの,"複数の遠方の人または物を指すのに使う指示代名詞、または指示形容詞。"
both,両方; 両方の; 両者,二つのものや人々すべてを指す。
mark,印; マーク; 点数,"何かを識別するための記号や印。テストなどで与えられる評価の点数。"
often,しばしば; よく,"頻繁に、たびたびという意味を表す副詞。"
letter,手紙; 文字,"紙などに用件を書いて送るもの。文章を作るための記号。"
until,〜まで,"ある時点や状況が続く限界を示す。"
mile,マイル; 1マイル,"長さの単位で、約1.609キロメートル。"
river,川,"水が流れる大きな自然の水路。"
car,車,タイヤがつき地面を走る乗り物。人や物を運ぶために使われる。
feet,足,"足首より下の部分。歩くときに使う身体の部分の複数形。"
care,世話; 注意; 気遣い,"誰かや何かを大切にすることや守ること。また、注意深く行動したり気にかけたりすること。"
second,秒; 2番目の,"時間の単位（1分間の60分の1）。順序における2番目のもの。"
book,本; 書物,"印刷されたページを束ねて綴じたもので、読んだり書いたりするために使われるもの。"
carry,運ぶ; 持ち運ぶ,"人や物をある場所から別の場所へ移すこと。または、物理的に物を支えながら移動させること。"
took,取った; 連れて行った,"take（取る、連れて行く）の過去形。"
science,科学,"自然界や社会の現象を観察、実験、理論構築によって体系的に研究する学問。"
eat,食べる,"食物を口に入れ、かんで飲み込む行為。"
room,部屋; 余地,"建物の中の四方を囲まれた空間。特定の用途（寝室、居間など）に使われることも多い。また、何かをするための空間や機会も意味する。"
friend,友達; 友人,"親しい関係にある人。お互いに好意を持ち、支え合う相手。"
began,始まった,"beginの過去形。何かがスタートした状態を示す。"
idea,考え; アイデア,"物事についての思考、構想、または心に浮かんだ像。"
fish,魚,"水中に住む、えら呼吸をする動物。"
mountain,山,"地殻が隆起してできた、周囲よりも高い大きな地形。"
stop,止まる; 止める; 中止する,"動きや活動を終えること。進行中の何かをやめること。"
once,一度; かつて,"過去のある時、または回数を数えるときに「1回」という意味で使われる。"
base,基礎; 土台; 基地,"物事の一番下の部分や支えとなるもの。活動の中心となる場所。"
hear,聞く,"音を耳で知覚すること。誰かが話すことや、物事の音を知ること。"
horse,馬,"家畜化された、速く走ることができ、乗り物や荷物の運搬に使われる大型の哺乳類。"
cut,切る; 切断,"刃物や鋭いもので、物体を二つ以上に分けたり、表面に切り込みを入れたりすること。"
sure,確かな; きっと; もちろん,"疑いなく真実であること、または確信していること。同意や承認を表す際にも使う。"
watch,見る; 時計,"時間を見るためのもの。または、動いているものや出来事を注意して見る行動。"
color,色; 色彩,"物体の表面の特性で、光を反射または吸収することで視覚によって区別される。"
face,顔; 面会する; 直面する,"頭の全面、目、鼻、口がある部分。また、困難や問題に立ち向かうことを意味する。"
wood,木材; 森,"木から切り出された材料や、木が生い茂っている場所、またはゴルフのクラブの一種。"
main,主な; 主要な,"最も重要または影響力のある。物事の中心となる部分。"
enough,十分な; もういい,"必要とされるだけ、あるいはそれ以上の量や程度。満足できるほど。"
plain,平野; 明白な; 質素な,"広くて平らな土地。見た目がシンプルで飾り気がない様子や、はっきりとしていて分かりやすい様子を表す。"
girl,少女; 女の子,"若い女性の子供。"
usual,いつもの,"普通であること、または頻繁に起こることを示す。"
young,若い,"年齢が比較的少ないこと。年をとっていないさま。"
ready,準備ができた; 〜する準備ができている,"物理的、精神的に何かを行う準備ができている状態。"
above,〜の上に; 〜より高く,"位置や状態が何かの上にあること。より優れていることや、量が多いことを示すこともある。"
ever,これまでに; かって,"ある期間中のあらゆる時点、または経験した・起こったことすべてを指す。"
red,赤; 赤い,"光のスペクトルの中で最も波長が長い色。血液や炎のような色。"
list,リスト; 一覧; 名簿,"項目や名前などがまとめて書き出されたもの。"
though,〜だけれども; 〜にもかかわらず,"文の途中で、「しかし」「それでも」という意味で前の内容と対比する情報を加える接続詞。あるいは、文末で前の文の内容に対して控えめな反対や疑問を表す副詞。"
feel,感じる; 感じる; 感じ,"感覚や感情を体験すること。触覚や心の状態を表す。"
talk,話す; 話し合い,"言葉を使って考えや気持ちを伝えること。会話や議論のことも指す。"
bird,鳥,"羽毛を持ち、主に空を飛ぶ脊椎動物。"
soon,すぐに; まもなく,"近い将来に、あまり時間がたたずに。"
body,体; 肉体; 死体,"人や動物の全身、またはその主要な部分。生物の物理的な構造。"
dog,犬,"人間と一緒に住むことの多い、四足で毛の生えた動物。"
family,家族,"夫婦、親子、兄弟姉妹など血縁または婚姻によって結ばれた人々の集まり。"
direct,直接の; 指示する,"まっすぐな、間接的でない。道案内をしたり、命令したりすること。"
pose,ポーズ; 姿勢; ふりをする,「写真を撮るための特定の見せ方」「体を使った特定の姿勢」「本当ではない態度や見せかけ」などの意味を持つ。
leave,出発する; 離れる; 残す,"ある場所から移動すること、または何かや誰かをそのままにしておくこと。"
song,歌; 歌曲,"声や楽器で演奏される音楽作品で、通常は歌詞がある。"
measure,測る; 寸法; 対策,"大きさ、量、程度などを決定する行為。また、その結果得られた数値や、問題解決のために行われる行動。"
door,ドア; 戸,"建物や部屋の出入りに使われる開け閉めできる板。"
product,製品; 生産物,"作られたもの。特に工場などで大量に作られるものを指す。"
black,黒い; 黒色,"色の一つで、光をほとんど反射しない非常に暗い色。また、暗いことや否定的な意味合いでも使われる。"
short,短い; 背の低い; 不足した,"長さ、高さ、または時間が短い状態。数が十分でないこと。"
