english_word,native_translation,definition_zh
had,有；吃；经历,"have 的过去式和过去分词形式，表示拥有、经历、吃喝或做某事已完成或过去。"
by,通过；在旁边；被,"表示方法、方式或媒介（例如 '通过电子邮件'）；表示位置，在某个物体或人旁边（例如 '站在我旁边'）；用于被动语态中，表示动作的执行者。"
not,不；不是,"用于否定陈述或表示相反的情况。"
word,词；单词,"构成语言的最小单位之一，通常由字母组成，具有意义。"
but,但是；然而,"用于连接两个对比或相反的说法；也可表示除了……之外。"
what,什么,"用于询问事物、信息、身份等，或表达惊讶、强调。"
some,一些；有些,"表示数量不定但多于零的；表示某人或某事物，但不具体说明身份。"
we,我们,"表示说话人团体中包括说话人在内的两人或多人。"
can,能；可以,"表示能力、许可或可能性。"
out,出；在外面,"表示离开内部；表示位于内部的外面。"
other,其他；别的,"不同于已经提到或已知的人或事物。"
were,是,"为be动词的过去式复数形式，用于表示过去某种状态、存在或属性。"
all,全部；所有,"表示整体、没有遗漏；也可指一切、所有的事物。"
there,那里；那儿,"表示某个位置或地方；也可用于引出句子，说明某事物的存在（例如 '有'）。"
when,什么时候；当...时,表示时间，询问或说明某事发生的时间。
up,上；向上,"表示位置较高或朝向较高的地方；表示完成或结束（例如 '用完'）。"
use,用；使用,"表示将某物用于特定目的或功能。"
your,你的,"表示属于或与你（或你们）有关联的东西。"
how,如何；怎样,"表示询问方式、方法或程度；也可用于感叹，表示惊讶或赞叹。"
said,说；说过的,"动词say的过去式和过去分词，表示“说过”或“曾经说”。"
an,一个,"用于元音开头的可数名词前，表示“一个”。"
each,每个；各自的,"指个体，表示群体中的每一个成员或单个事物。"
she,她,"第三人称单数女性代词，用来指代女性。"
which,哪个；哪些,"用于疑问句或从句中，询问或指代（已知范围内的）人或事物。"
do,做；干,"表示从事某个活动或工作；询问或陈述是否完成了某事。"
their,他们的,"用来表示或属于多个人或物，是they的所有格形式。"
time,时间；时候,"衡量事件持续或间隔的度量单位（例如分钟、小时）；指特定的时刻或时期。"
if,如果,引出条件状语从句，表示“假使，倘若”。
will,将；将会,"表示将来要发生的事情；表示意愿或决定。"
way,方法；方式；道路,"表示做事情的方式、手段或途径；也可指通往某地的路线或道路。"
about,关于；大约,"表示某个主题或论点，意为“关于”；表示数量或时间的近似，意为“大约”。"
many,许多；很多,"表示数量大，数目多。"
then,然后；那时,"表示时间上的顺序，指“接下来”或“事件发生之后”；或指过去或将来的某个时间。"
them,他们；她们；它们,"指代之前提到的复数人、女性或事物。"
write,写；写作,"用笔、铅笔或键盘在纸张或其他表面上形成字母、文字或符号；创作文章、书籍或诗歌等。"
would,将会；愿意,"助动词，表示将来可能发生的事情（例如 '我明天可能会来'）；表示委婉的请求或询问（例如 '你愿意帮忙吗？'）；表示过去的习惯或重复动作（例如 '他以前常去海边'）。"
like,喜欢；像,"表示喜爱或赞同某人或某事物；表示与...相似或具有...的性质。"
so,所以；因此,"表示结果或后果；表示程度（例如 '太好了'）或连接两个句子（例如 '我累了，所以想睡觉'）。"
these,这些,"表示指代距离说话者较近的、复数的人或事物。"
her,她；她的,"表示女性人称代词的宾格（例如 '帮助她'）或所有格形式（例如 '她的书'）。"
long,长；久的,"表示物体或时间在长度上很长；也表示持续时间很久。"
make,制造；制作；使,"指通过组合材料或部分来创造某物；使某人或某事变成特定的状态或样子。"
thing,事情；东西,"指物体的、事件的或抽象的概念，通常不具体说明是什么。"
see,看见；看到；理解,"用眼睛感知；理解或意识到某事物。"
him,他,"第三人称代词，用于指代男性宾格。"
two,二；两个,"表示数字 2；表示两个单元或数量。"
has,有；拥有,"是动词'have'的第三人称单数现在时形式，表示拥有、持有或存在。"
look,看；看起来,"表示用眼睛观察；表示某人或某物呈现出某种样子或状态。"
more,更多；进一步,"表示数量或程度大于、多于；表示在某个范围或时间上向远处或将来延伸。"
day,天；日,"指从日出到日落的时间段；也指24小时的时间单位。"
could,能够；可以,"是can的过去式，表示过去的能力或可能性；也用于提出请求或建议，语气更委婉。"
go,去；走,"表示离开一个地方前往另一个地方；表示移动、行进。"
come,来,"表示从远处移动到说话人或指定地点；出现；发生。"
did,做了；曾经,"do的过去式，表示在过去完成的动作或状态。"
number,数字；号码,"表示数量、顺序或代号（例如电话号码）。"
sound,声音；听起来,"指耳朵能听到的振动；形容某事物听起来怎么样。"
no,不；没有,"表示否定、反对或拒绝；表示不存在或没有。"
most,最,"用于形容词或副词前，表示程度最高；指大部分或多数的。"
people,人；人们,"泛指人类的个体或群体。"
my,我的,"物主代词，表示属于“我”的。"
over,在…上方；超过；结束,表示位置高于某物；数量或程度大于某数或某限度；事情完成或停止。
know,知道；认识,"表示了解信息、事实或某事物；表示与某人有过接触或认识。"
water,水,"一种无色、无味、透明的液体，覆盖 지구 的大部分，对生命至关重要。"
than,比,"用于比较不同事物，表示程度上的差异或关系。"
call,呼唤；打电话,"表示用声音邀请或命令某人来；也表示用电话与某人通话。"
first,第一；首先,"表示顺序、位置或时间上的最靠前；表示最开始或最重要的事情。"
who,谁,"表示询问是哪个人。"
may,可能；可以,"表示可能性或允许做某事。"
down,下；向下,"表示从高处到低处的位置或方向；也可表示情绪低落或减少。"
side,边；侧；方面,"物体或区域的边缘；身体的左侧或右侧；事物的某个特定的看法或观点。"
been,是；去过,"“be”的过去分词形式，表示已经存在或发生，例如“I have been to Beijing”（我去过北京）。"
now,现在；目前,"指说话时的时间；指当前的情况或时刻。"
find,找到；发现,"表示努力寻找后找到丢失或隐藏的东西；表示意识到或发现某个事实或情况。"
any,任何的；一些；随便的,"表示不确定数量或没有限制的选择；可在疑问句和否定句中表示数量；也可表示“随便哪个”。"
new,新的,刚出现的、首次发现的或与以前不同的。
work,工作；做工,"指进行体力或脑力劳动；也指机器或系统正常运转；还可指就业或职业。"
part,部分；零件,"一个整体中的某一块；机器或其他设备的一个组成部分。"
take,拿；取；带；乘坐,"表示用手或工具拿起、拿走某物；也可以表示将某物带到另一个地方；乘坐交通工具（例如 '乘出租车'）。"
get,得到；成为；变成,"表示获得或收取某物；表示达到某种状态或条件。"
place,地方；放置,"指某个特定的位置、地点或空间；也可以指把某物放在某个位置上。"
made,制作；制造,"过去式和过去分词，表示“制造”、“制作”或“创造”等动作已经完成。"
live,活；居住,"表示有生命、有活力；表示在某个地方居住或长期生活。"
where,哪里；在哪里,"用来询问或指示地点。"
after,在…之后；后来,"表示继某件事或时间之后发生的；表示后面的时间。"
back,回；后面,"表示回到原位或以前的状态；也可表示身体靠后的部分或物体的背面。"
little,小的；少量的,"表示尺寸、数量或程度上的不大；表示某事物的数量少。"
only,只有；仅仅,"强调数量少、限制范围或别无选择。"
round,圆；环形物,"形状像一个完整的圆周，没有角；也可以指循环反复的事物或游戏的一局。"
man,男人；人,"成年男性；泛指人类。"
year,年；年度,"表示地球绕太阳公转一周的时间，通常是365天（闰年366天）；表示某个特定的年度。"
came,来了；来临,"come 的过去式，表示移动到说话者所在的地方或某个特定地点。"
show,表演；展览；显示,"指演出、表演或展示给观众看；也可指展示某物，使其可见或突出。"
every,每个；所有,表示整体中的每一个独立个体，无一例外。
good,好；好的,"表示令人满意、有优点或符合标准；也可用于回应或赞同。"
me,我,"英语中 'I' 的宾格形式，指说话人自己。"
give,给；赠送,"将某物交给或送给某人；表示提供、付出。"
our,我们的,"属于或与我们有关的形容词，用来指代说话者和听话者或说话者所属的群体所拥有的事物。"
under,在下面；低于,"表示在…的下方，或处于低于某个位置、水平或数量的状态。"
name,名字；名称,"用于识别、称呼人、事物或地方的词。"
very,很；非常,"表示程度高，用来修饰形容词或副词。"
through,通过；穿过,"表示从一端到另一端穿过某物或某地；表示用某种方式或工具完成某事。"
just,正好；仅仅,"表示时间上刚好发生；表示只是、仅仅如此。"
form,形式；表格,"指事物的外观、形状或结构；也指需要填写的文件或申请表。"
sentence,句子,一组词，通常包含主语和谓语，表达一个完整的思想。
great,伟大的；非常好,"表示极好的、杰出的或重要的；也可用于称赞某事或某人做得非常好。"
think,认为；思考,"用大脑形成想法、意见或做出判断；也指考虑某事或某人。"
say,说；讲,"发出声音表达意思；用言语传达信息。"
help,帮助；帮助，帮忙,使某人更容易做某事或解决一个问题。
low,低；矮,"表示高度或程度低于通常水平或平均水平；声音小的或弱的。"
line,线；排；行,"表示细长的标记或条；表示一串人或物排列在一起；文字或诗歌的一行。"
differ,不同；有区别,"表示两个或更多的事物之间存在差异，不完全相同。"
turn,转；轮到,"表示一个物体围绕中心旋转；表示改变方向；表示（行动、机会等）轮流到某人或某物承担。"
cause,原因；引起,"导致某事发生的人、事物或情况；使某事发生。"
much,许多；很多,"表示数量大或程度高，通常用于不可数名词。"
mean,意思；意味着；卑鄙的,"表示某物的意义、重要性或意图；表示结果或必然性；形容人行为刻薄、不友善。"
before,在……之前；以前,"表示时间或顺序上先于某个事物或时间点；也可表示位置在前。"
move,移动；搬家,"表示从一个地方移到另一个地方；也指改变身体的位置或姿势。"
right,对；正确,"表示符合事实、道理或标准；也指权利或正义。"
boy,男孩；小子,"指年轻的男性；也可以用于非正式场合称呼年轻人。"
old,老的；旧的,"表示年老的（指人）；表示使用时间长的或不再新的（指物）。"
too,太；也,表示程度过深或超出；表示“也”或“同样”。
same,相同的；一样的,"表示与之前提到的人或事物没有区别，或在性质、外观等方面没有差异。"
tell,说；告诉,"用语言传达信息或叙述事情；向某人透露消息。"
does,做；确实,"助动词 do 的第三人称单数现在时形式，用于构成疑问句、否定句或加强语气。"
set,设置；一套；使处于,"使某物处于特定位置或状态；一组相关物品；（日落）下沉。"
three,三,"比二大一的数字；表示三个单位的数量。"
want,想要；想,"表示希望拥有某物、做某事或达到某个状态。"
air,空气,"地球周围的气体混合物，主要含有氮气和氧气；也可指天空。"
well,好；井,表示状态或行为令人满意；也可指挖掘的、用于取水的坑。
also,也；而且,"表示附加、同样的情况或进一步的信息。"
play,玩；扮演,"进行娱乐或活动，通常是为了乐趣；在戏剧、电影等中饰演角色。"
small,小的；小的东西,"指体积、尺寸或数量不大的；也可指小孩或小动物。"
end,结束；末尾,"表示事物的终止或完成；某物最后的、最远的部分。"
put,放；放置,"表示将某物移至或置于特定位置。"
home,家,"指一个人居住的地方，通常是和家人在一起；也可以指故乡或归宿。"
read,读；阅读,"理解或说出写下来的文字或符号。"
hand,手,人或动物的肢体末端，用来抓握或触摸。
port,港口；海港,"船只停泊、装卸货物和乘客的地方；一个城市或市镇，通常位于一个海港上。"
large,大的,"表示尺寸、数量或范围大于一般的。"
spell,拼写；咒语,"说出或写出单词的字母顺序；一组具有魔力的话语。"
add,加；增加,把一个数量和另一个数量合在一起；使某物变得更大或更多。
even,甚至；连同,"表示超出通常情况，强调某件事的重要性或意外性；也可表示平均或平坦。"
land,土地；降落,"地球表面未被水覆盖的部分；飞机、鸟等从空中回到地面。"
here,这里；在这儿,"表示说话者所在或指向的地点；表示在目前的时间或情况。"
must,必须；一定要,"表示有义务、必要性或很可能发生的事情。"
big,大的；重要的,"表示体积、尺寸或规模很大；也可指重要或有影响力的。"
high,高的；高,"表示高度大的；表示数量、水平或程度上大的。"
such,这样的；如此,"表示具有某种特定品质或性质的人或事物；也用于强调程度或数量。"
follow,跟随；遵循,"表示沿着某人或某物前进；表示按照规则、指示或榜样行事。"
act,行动；表演,"指做某事或采取某种行为；也指在戏剧、电影等中扮演角色。"
why,为什么,"用于询问原因或理由。"
ask,问；询问,"通过语言或文字请求信息、帮助或允许；提出问题。"
men,男人；男士,"指成年男性；有时也指泛指的人类（尤其在旧用法中）。"
change,改变；变化,"使不同或变得不同；事物变得不同的过程或结果。"
went,去了；去了的,"动词go的过去式，表示过去时间完成了“去”的动作。"
light,光；灯；轻的,"指使物体可见的辐射；用于照明的装置；指重量小的。"
kind,种类；善良,"表示事物的类别或类型；表示友好、乐于助人或有礼貌的品质。"
off,关闭；离开；脱离,"表示停止运转、断开连接；表示离开某个地方或表面；表示与某物分离。"
need,需要；需求,"表示必要性或必须得到的东西或状态；也可指感到缺乏某种东西。"
house,房子；住宅,"人们居住的建筑物。"
picture,图片；照片,"表示绘画、照片或图像；也可指脑海中的形象或概念。"
try,尝试；努力,"表示试图做某事或解决问题；也可指努力或用尽全力去完成某事。"
us,我们,"指说话人或书写人自己和他们在一起的人。"
again,再次；又,"表示重复，做同样的事情；表示回溯到以前的状态或位置。"
animal,动物,"指具有身体、能够移动和感觉的生き物，与植物不同。"
point,点；指出,"表示位置、时间或抽象概念；指用手指或其他东西指出方向或位置。"
mother,母亲；妈妈,"指女性的父母；也可用作亲切的称呼。"
world,世界,"指地球及其所有国家和人民；也可指某一特定领域或群体。"
near,近；靠近,"表示与某物或某人距离很近，不远；也可指时间上临近。"
build,建造；构建,"表示建起房屋、桥梁或其他结构；也指逐步形成或发展。"
self,自己；自我,"表示某人或某物自身；指个人的本性或特征。"
earth,地球；泥土,"太阳系中的第三颗行星，人类居住于此；也指地面的土壤或泥巴。"
father,父亲；爸爸,"男性父母；尊称或亲切称呼生育你的男性或养育你的男性长辈。"
head,头；头部,"指人或动物身体最上端的部分；也可指领导者或负责人。"
stand,站立；忍受；摊位,"用脚支撑身体保持直立；容忍或经受困难、痛苦等；售卖物品的小地方。"
own,自己的；拥有,"指属于某人或某物；也指拥有或拥有。。"
page,页；书页,"印刷物（如书、杂志）的一张或一片纸，每一面都算作一页。"
should,应该；应当,"表示责任、义务或推测可能性；表示建议或劝诫。"
country,国家；乡村,"表示一个独立的政治实体或民族的土地；也指农村地区，与城市相对。"
found,找到；发现,"是 find 的过去式和过去分词，表示过去找到了或发现了某人或某物。"
answer,回答；答案,"对问题、询问或请求的回应；解决问题的方法或结果。"
school,学校,进行教育和学习的机构，学生在此接受知识和技能的培训。
grow,生长；种植,"表示生命体变大、变长、变强壮；表示栽培植物。"
study,学习；研究,"表示为了获得知识或技能而付出时间和精力；也指对某一特定主题的深入探究。"
still,仍然；还,"表示动作或状态持续存在，没有停止或改变；也可以表示尽管有不利情况，但某事仍然发生。"
learn,学习,"通过学习或经验获得知识、技能或领悟。"
plant,植物；种植,"一种生长在土壤中的生物，通常有茎、叶和根；将种子或幼苗放入土壤中使其生长。"
cover,覆盖；封面；掩盖,"用某物盖住（例如用毯子盖住身体）；书或杂志的外层；隐藏或保护某物。"
food,食物；食品,"供人类或动物食用的物质。"
sun,太阳,"指太阳系中心的恒星，发出光和热。"
four,四,"数字 4。"
between,在…之间；介于,"表示在两个或多个事物、人或群体之间；指时间或程度的范围。"
state,状态；州；国家,"指人或物的存在形式、情况；也指美国的各个行政区划单位；或泛指一个独立的政府统治下的区域。"
keep,保持；保留,"表示持续拥有、维持某种状态或位置；也可指遵守诺言或约定。"
eye,眼,"人或动物的视觉器官。"
never,从不；永不,"表示任何时候都不发生或不存在。"
last,最后的；持续,"表示在序列、时间或空间上排在最末尾的；表示某物持续多久或能用多久。"
let,让；允许,"表示同意或允许某人做某事；也表示假设或提出一个想法。"
thought,思考；想法,表示对某事的思考过程或结果；也可以指一种观念或主意。
city,城市,"人口众多、设施发达的定居点，通常比城镇或村庄大。"
tree,树,"一种大的多年生植物，通常有一个主干，有很多分枝，上面有树叶或针叶。"
cross,交叉；跨越；十字架,"表示从一边到另一边移动；表示两条线或事物相交；表示一个由两条垂直线组成的形状（十字架）。"
farm,农场；耕作,"一块用于种植作物或饲养动物的土地；指在农场上工作或种植作物。"
hard,硬；困难,不容易弯曲或改变形状的；需要付出很大努力的；不容易理解或解决的。
start,开始；启动,"表示事情的起点、开端或行动的发起；也指机器或引擎等的启动。"
might,可能；力量,"表示可能性、不确定性或微弱的能力；也可表示强大的力量或权力。"
story,故事；传说,"讲述事件或经历的书面或口头记述，可以是真实的或虚构的。"
saw,看见了；锯子,"see 的过去式，表示过去看到某物；一种工具，通常用于切割木头或其他材料。"
far,远,"距离或时间上很大的。"
sea,海,"大片的咸水区域。"
draw,画；吸引；拉,"指用笔等工具在纸上或其他表面上作画；指吸引某人或物前来；指用力拉动某物。"
left,左边；离开,"表示方向，与 'reft' 相反；也可指离开某个地方或某人。"
late,晚的；迟到的,"表示时间超过了预定的或通常的时间；也可以指在时间上靠后。"
run,跑,表示快速移动，尤其用腿。
don't,不要；不,"是 do not 的缩写，用于否定句或祈使句，表示“不”或“请勿”的意思。"
while,在...时候；而，然而,表示在某事发生的同时，或用于连接两个对比或相反的事物。
press,按；压力,"用力量向下或向前推；新闻界或媒体；紧迫的情况。"
close,关闭；靠近,"表示把…关上或合起来；表示距离很近。"
night,夜晚；夜,"指从日落到日出的时间段。"
real,真实的；真的,"表示事物确实存在或像看起来那样，不是虚假的或想象的。"
life,生活；生命,"指生存的状态；也指人的生命或一生。"
few,少数；很少,"指数量不大的人或事物。"
north,北；北方,"罗盘上的主要方向之一，与南相对；指位于北部区域的。"
open,打开；开放,"表示使某物从关闭状态变为开启状态，或表示某地或某事物可供进入或使用。"
seem,好像；似乎,"表示看起来或感觉起来某种样子。"
together,一起；共同,"表示与某人或某物一同；也指联合、集合地。"
next,下一个,紧随其后的；与当前或最近事物接壤的。
white,白色,指像雪或牛奶那样的颜色；也指皮肤是这种颜色的人；用于表示清白、纯洁等概念。
children,孩子；儿童,"指未成年的人，尤其是男孩或女孩。"
begin,开始；着手,"表示动作、状态或活动由零变为有，或者从某个点向前发展。"
got,得到；有,"是动词 get 的过去式或过去分词，表示获得、收到或拥有。"
walk,走；步行,"用腿移动身体；以正常的步行速度行走。"
example,例子；榜样,"用来表示某个类型的典型或说明；值得学习的范例。"
ease,放松；减轻,"（使紧张、困难或疼痛等）减轻或消失；使感到舒适或不费力。"
paper,纸；文件,"用来写字、印刷或包装的薄片材料；或指证明某种身份、权利或事实的文件。"
group,组；群体,"指一些人或事物聚集在一起形成的整体；也可以指按某种标准划分的类别。"
always,总是；一直,"表示在每个时间、永远或反复地发生。"
music,音乐,"指歌曲、旋律或其他有组织的、令人愉悦的声音形式。"
those,那些,"是 that 的复数，指代之前提到过或可识别的（通常离说话者较远的）人、事或物。"
both,两个都；既…又…,"表示两个人/事物都包含在内；用于强调两个并列的项目。"
mark,标记；分数,"表示在某物上留下的符号、印记；也表示在考试、比赛中获得的成绩。"
often,经常；常常,"表示某事发生的频率很高、很多次。"
letter,信；字母,"指写给别人的书面信息；也指构成文字的符号。"
until,直到；在……以前,表示时间，说明某事持续到某个特定的时间点或事件发生为止。
mile,英里；哩,"衡量距离的单位，等于1760码或约1.6公里。"
river,河流,一种天然的、通常很大的流经土地并注入海洋、湖泊或其他河流的水体。
car,汽车；轿车,"一种有四个轮子，通常由发动机驱动的陆地交通工具。"
feet,脚；英尺,"指人类或动物的肢体末端用于站立和行走的部分；也指一种长度单位，等于12英寸。"
care,关心；照顾,"指对某人或某事的关注、担忧或照料。"
second,第二,表示排序中的位置，紧随第一之后；也指时间单位，一分钟的六十分之一。
book,书,"用于阅读或书写的装订起来的纸张；也可以指预订。"
carry,携带；搬运,"用手或身体的某部分拿或搬动某物，从一个地方到另一个地方。"
took,拿；采取,"take的过去式，意为拿起、带着、乘坐、花费（时间）、接受、进行、吃药或采取行动等。"
science,科学,"对自然和社会现象的系统研究和知识体系。"
eat,吃,"用嘴咀嚼和吞咽食物。"
room,房间；空间,指建筑物内的分隔区域；也可指可用的地方或余地。
friend,朋友；友人,"指通过互相喜爱或尊重而建立关系的人。"
began,开始,表示某事物的启动或发生。
idea,主意；想法,表示脑海中形成的计划、建议或概念。
fish,鱼,"一种生活在水中的、通常有鳍和鳃的动物。"
mountain,山,"比周围地面高的自然隆起，通常比丘陵大。"
stop,停止；停留,"表示停止运动、活动或进展；也可以指在某个地方短暂地停留。"
once,一次；曾经,"表示过去某个时间发生过一次的事情；表示某个时间点或经历过的事情。"
base,基础；底部,"指物体最下面的部分，或事物赖以存在的根本；也可指军事基地。"
hear,听见；听到,"用耳朵感知声音。"
horse,马,"一种大型四腿动物，常用作骑乘或拉车。"
cut,剪；切,"用锋利的工具（如刀或剪刀）将某物分成两部分或更小的部分。"
sure,确信；当然,"表示对某事有把握、没疑问；表示同意、乐意或肯定回答。"
watch,手表；看,"戴在手腕上用来显示时间的装置；用眼睛看某个事物。"
color,颜色；色彩,"物体表面所显示的属性，由光线的反射或发射决定。"
face,脸；面对,"人或动物的头部正面，包括眼睛、鼻子和嘴；面对或处理（困难或情况）。"
wood,木头；森林,构成树干、树枝的坚硬物质；成片的树木。
main,主要的,"指最重要、最主要的或基本的。"
enough,足够的；足够，“表示数量或程度达到了所需的或令人满意的水平；也可指够了，不再需要。”
plain,朴素的；清楚的,"表示简单、没有修饰或花纹；也表示清楚、易于理解。"
girl,女孩；姑娘,"指年轻的女性人类；尤其指未满十八岁的女性。"
usual,通常的；平常的,"指经常发生、习惯性的或普通的；不特别的。"
young,年轻的；幼小的,"指年龄较小的人或动物；指处于早期阶段的事物。"
ready,准备好的；乐意的,"表示已做好某事的准备；表示愿意或甘心做某事。"
above,在上面；高于,"表示位置在某物的上方；表示在数量、程度或重要性上超过某物。"
ever,曾经；总是,"表示在任何时候（过去、现在或将来）发生过；表示强调，如同“总是”或“一直”。"
red,红色；红色的,"表示颜色，像血或火的颜色；也可指共产党或左翼政治派别。"
list,列表；表,"一种包含一系列项目或名称的集合，通常按特定顺序排列；也可指列出项目、名称等。"
though,虽然；不过,"表示转折、让步或对比，类似于“尽管”、“然而”。"
feel,感觉；觉得,"表示通过感官或情感体验某事物。"
talk,说话；交谈,"用嘴发出声音，或用语言表达想法或感受；与某人交谈。"
bird,鸟,"一种有羽毛、翅膀和喙的会飞的脊椎动物。"
soon,很快；不久,"表示在不长的时间之后发生；很快就会。"
body,身体；尸体,"指人或动物的躯体部分；有时也指死去的躯体。"
dog,狗,"一种常见的四条腿的动物，通常被人类饲养作为宠物或工作动物。"
family,家庭；家人,"指由父母和子女组成的社会单位，或指同一祖宗的全部人；也可指具有血缘或婚姻关系的一群人。"
direct,直接；指导,"表示笔直的、没有绕道的（例如 '直达列车'）；表示引导或管理某人或某事（例如 '指导方向'）。"
pose,姿势；摆姿势,"指身体或物体的特定姿态或位置；也指为拍照或绘画等目的摆出某种姿势。"
leave,离开,"表示离开某个地方或人。"
song,歌曲,"词曲结合，通常用于歌唱或演奏，表达情感或故事的艺术形式。"
measure,测量；衡量,"表示确定某物的尺寸、数量、大小、程度等；也指采取行动来达到某个目的或应对某个情况。"
door,门,"建筑物或房间的出入口，通常由铰链连接的面板构成，可以打开或关闭。"
product,产品,"指经过加工、生产或创造出来的物品或服务。"
black,黑色,"表示没有颜色或吸收所有可见光的颜色。"
short,短的；矮的；不足的,"长度或高度较小；时间短暂；数量不够或不足。"
numeral,数字,"表示数的符号或词。"
class,班级；课，指学校里的一群学生组成的集体，或指教学的时间段或课程内容。
wind,风,"指空气的自然流动，通常水平移动。"
question,问题；提问,"表示需要回答的内容；也指提出问题或疑问的行为。"
happen,发生；碰巧,"表示某件事成为了现实，出现了；表示某事碰巧发生或发生而没有事先计划。"
complete,完成；完整的,"表示达到结束或完美状态；表示没有缺失或遗漏的。"
ship,船；舰,"在海上航行的交通工具，通常用来运输货物或载人。"
area,区域；范围,"表示某个特定的地方或范围；也指某个特定领域的范围或范畴。"
half,一半；半个,"表示总量或整体的两个相等的部分之一。"
rock,岩石；摇滚,"一种坚硬的矿物集合体，常构成山脉或大块地面；一种流行音乐风格，节奏强烈，常使用电吉他和鼓。"
order,命令；次序；点菜,"表示要求某人做某事或服从的指示；表示排列的顺序或组织方式；表示在餐厅等地方点取食物或商品。"
fire,火；着火；解雇；射击,"燃烧时发光发热的东西；开始燃烧；让某人失去工作；用枪发射子弹。"
south,南；南方,表示方向，与北方相对；也可指一个国家或地区南面的一部分。
problem,问题；难题,"需要解决的困难情况或事情；需要思考或解答的困难点。"
piece,块；片；件,"指物体的一部分或片段；也可指一件物品或艺术作品。"
told,告诉,动词tell的过去式和过去分词形式，表示将信息传达给某人。
knew,知道；认识,"know 的过去式，表示过去了解某事或认识某人。"
pass,通过；经过；传递,"表示成功完成某事；从一个地方到另一个地方；把东西给别人。"
since,自从；因为,"表示从过去某个时间点到现在的一段时间；表示原因或理由。"
top,顶；顶部；上面,"指物体或地方的最高部分或表面；也可以指最优良的、最重要的或最优秀的。"
whole,全部；整个,"表示完整、没有遗漏、全部的。"
king,国王,一个国家的男性统治者。
space,空间,表示存在物体的地方；太空，宇宙。
heard,听见；听说,"heard 是 hear 的过去式和过去分词形式，表示用耳朵感知声音，或者得知某个消息或信息。"
best,最好的；最佳的,"表示在质量、能力或表现等方面达到最高水平或超过所有其他人或事物。"
hour,小时,"表示时间的单位，一小时等于六十分钟。"
better,更好；更佳,"比…好，在质量、表现或满意度上超过…"
true,真实的；真的,"符合事实或实际情况的；不是假的或虚构的。"
during,在……期间；在……时候,"表示在某个时间段或某个事件发生的整个过程中。"
hundred,百,"表示一百这个数字或单位。"
five,五,"比四多一个的数字；表示数量为 五 的。"
remember,记住；记得,"指在脑海中保留或回想起过去经历、信息或事物的能力。"
step,步骤；脚步,"表示前进的动作或过程；也可指为了达到某个目标的某个阶段或措施。"
early,早,"比平常、预期或需要的时间提前发生或到达。"
hold,拿；保持；握住；举行,"用手或手臂抓住东西；保持某种状态或位置；举行会议或活动。"
west,西,"四个主要方向之一，太阳落下的方向。"
ground,地面；土地,地球的表面；或指特定的土地用途。
interest,兴趣；利益,"表示对某事物的好奇心或关注；也可表示金钱的收益，例如存款的利息。"
reach,到达；够到,"表示抵达某个地方；也表示伸出手或物体够到某物。"
fast,快的；迅速的；禁食,"表示移动速度很快或发生速度很快；也可指一段时间不吃东西。"
verb,动词,"表示动作、行为或存在状态的词。"
sing,唱歌,"发出乐音，通常指用自己的声音发出旋律。"
